Make,Model,Vehicle_Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2022,144000,1500,PETROL,5MT,5800.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2016,274000,1500,PETROL,AT,3000.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,104000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,75000,1000,PETROL,AT,5100.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,100000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,105000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,118000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,97000,1000,PETROL,AT,4900.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,101000,1000,PETROL,AT,4700.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,95000,1000,PETROL,AT,4700.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,91000,1000,PETROL,AT,5000.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,121000,1000,PETROL,AT,4600.0
TOYOTA,VITZ JEWELA,TOYOTA VITZ JEWELA,2013,105000,1300,PETROL,AT,2400.0
TOYOTA,SUCCEED VAN UL X,TOYOTA SUCCEED VAN UL X,2017,160000,1500,PETROL,AT,4200.0
TOYOTA,REGIUSACE VAN DX GL PKG,TOYOTA REGIUSACE VAN DX GL PKG,2016,128000,3000,DIESEL,AT,10200.0
TOYOTA,REGIUSACE VAN SUPER GL LONG DIESEL TURBO,TOYOTA REGIUSACE VAN SUPER GL LONG DIESEL TURBO,2013,210000,2982,DIESEL,AT,6200.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,172000,1300,PETROL,AT,5110.0
TOYOTA,PROBOX VAN DX,TOYOTA PROBOX VAN DX,2019,172000,1300,PETROL,AT,4800.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2017,150000,1300,PETROL,AT,4600.0
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2017,78000,1600,PETROL,MT,5000.0
TOYOTA,HIACE VAN DX GL PKG,TOYOTA HIACE VAN DX GL PKG,2020,150000,2700,PETROL,AT,15500.0
TOYOTA,HIACE VAN JUST LOW DX,TOYOTA HIACE VAN JUST LOW DX,2004,181000,2000,PETROL,AT,9400.0
TOYOTA,COROLLA FIELDER HYBRID EX,TOYOTA COROLLA FIELDER HYBRID EX,2020,110000,1500,HYBRID(PETROL),AT,6200.0
TOYOTA,VELLFIRE 2.4X,TOYOTA VELLFIRE 2.4X,2009,134000,2400,PETROL,AT,2910.0
TOYOTA,SIENTA DICE LIMITED,TOYOTA SIENTA DICE LIMITED,2012,69000,1500,PETROL,AT,2800.0
MAZDA,AXELA SPORT 22XD L PKG,MAZDA AXELA SPORT 22XD L PKG,2016,197000,2200,DIESEL,AT,2500.0
SUZUKI,ALTO L,SUZUKI ALTO L,2017,84000,660,PETROL,AT,1500.0
SUZUKI,ALTO G II,SUZUKI ALTO G II,2009,67000,660,PETROL,AT,750.0
MERCEDES,A CLASS A180M,MERCEDES A CLASS A180M,2015,46000,1600,PETROL,AT,5000.0
MAZDA,AXELA SPORT 20S TOURING,MAZDA AXELA SPORT 20S TOURING,2014,113000,2000,PETROL,AT,2770.0
HONDA,FIT HYBRID HYBRID F PKG,HONDA FIT HYBRID HYBRID F PKG,2013,98000,1500,HYBRID(PETROL),AT,2360.0
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2010,101000,1500,PETROL,AT,1230.0
TOYOTA,VOXY ZS,TOYOTA VOXY ZS,2016,188000,1800,HYBRID(PETROL),AT,5940.0
TOYOTA,ALPHARD G MZ G EDITION 4WD,TOYOTA ALPHARD G MZ G EDITION 4WD,2005,90000,2994,PETROL,AT,2590.0
MAZDA,BIANTE I STOP SMART EDITION II,MAZDA BIANTE I STOP SMART EDITION II,2011,113000,2000,PETROL,AT,1290.0
TOYOTA,NOAH S,TOYOTA NOAH S,2010,224000,2000,PETROL,AT,2910.0
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2009,154000,2400,PETROL,AT,6000.0
TOYOTA,NOAH X G SELECTION,TOYOTA NOAH X G SELECTION,2004,128000,2000,PETROL,AT,1810.0
TOYOTA,RAV4 HYBRID G,TOYOTA RAV4 HYBRID G,2019,90000,2500,HYBRID(PETROL),AT,15800.0
NISSAN,JUKE 15RX,NISSAN JUKE 15RX,2015,240000,1500,PETROL,AT,2200.0
DAIHATSU,MOVE CUSTOM X SA,DAIHATSU MOVE CUSTOM X SA,2013,202000,660,PETROL,AT,850.0
SUBARU,FORESTER 2.0XT EYESITE,SUBARU FORESTER 2.0XT EYESITE,2013,117000,2000,PETROL,AT,4200.0
SUBARU,FORESTER 2.0XT EYESITE,SUBARU FORESTER 2.0XT EYESITE,2013,112000,2000,PETROL,AT,4200.0
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,183000,660,PETROL,AT,1500.0
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,124000,660,PETROL,AT,1550.0
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2015,166000,660,PETROL,AT,1500.0
NISSAN,TIIDA 15M,NISSAN TIIDA 15M,2010,46000,1500,PETROL,AT,1200.0
NISSAN,TIIDA 15S,NISSAN TIIDA 15S,2008,20000,1500,PETROL,AT,1300.0
VOLKSWAGEN,POLO unknown,VOLKSWAGEN POLO unknown,2011,64000,1200,PETROL,AT,1600.0
TOYOTA,PIXIS EPOCH L,TOYOTA PIXIS EPOCH L,2013,73000,660,PETROL,AT,1550.0
DAIHATSU,MOVE L,DAIHATSU MOVE L,2014,159000,660,PETROL,AT,1000.0
DAIHATSU,MOVE L,DAIHATSU MOVE L,2007,96000,660,PETROL,AT,750.0
DAIHATSU,MIRA ES L SA3,DAIHATSU MIRA ES L SA3,2018,61000,660,PETROL,AT,2050.0
DAIHATSU,MIRA ES L SA3,DAIHATSU MIRA ES L SA3,2019,59000,660,PETROL,AT,2700.0
DAIHATSU,MIRA ES X SA3,DAIHATSU MIRA ES X SA3,2018,101000,660,PETROL,AT,2000.0
DAIHATSU,MIRA ES L,DAIHATSU MIRA ES L,2017,149000,660,PETROL,AT,1650.0
DAIHATSU,MIRA ES X,DAIHATSU MIRA ES X,2012,83000,660,PETROL,AT,1250.0
HONDA,FIT G F PKG,HONDA FIT G F PKG,2009,142000,1300,PETROL,AT,1700.0
MAZDA,DEMIO 13S TOURING PKG,MAZDA DEMIO 13S TOURING PKG,2017,81000,1300,PETROL,AT,3560.0
TOYOTA,AQUA S STYLE BLACK,TOYOTA AQUA S STYLE BLACK,2017,84000,1500,HYBRID(PETROL),AT,3800.0
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2009,109000,1500,PETROL,AT,3080.0
TOYOTA,COROLLA AXIO X,TOYOTA COROLLA AXIO X,2018,53000,1500,PETROL,AT,6390.0
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2015,115000,1500,PETROL,AT,4280.0
MITSUBISHI,CANTER TRUCK 3.25t 5STEP CRANE,MITSUBISHI CANTER TRUCK 3.25t 5STEP CRANE,1994,28000,4600,DIESEL,MT,21290.0
ISUZU,ELF TRUCK 1.95t FLAT BODY,ISUZU ELF TRUCK 1.95t FLAT BODY,2005,122000,4770,DIESEL,SMOOTHER,5460.0
MITSUBISHI,CANTER TRUCK 2.0t FLAT BODY,MITSUBISHI CANTER TRUCK 2.0t FLAT BODY,2018,291000,2990,DIESEL,DUONIC,7460.0
ISUZU,ELF TRUCK 3.0t FLAT BODY,ISUZU ELF TRUCK 3.0t FLAT BODY,2011,269000,3000,DIESEL,6MT,7170.0
HONDA,FIT G,HONDA FIT G,2010,70000,1300,PETROL,AT,1750.0
TOYOTA,AQUA X,TOYOTA AQUA X,2022,77000,1500,HYBRID(PETROL),AT,6950.0
TOYOTA,COROLLA RUMION 1.5G,TOYOTA COROLLA RUMION 1.5G,2010,176000,1500,PETROL,AT,2590.0
TOYOTA,WISH Z,TOYOTA WISH Z,2005,127000,2000,PETROL,AT,2490.0
MAZDA,PREMACY 20CS,MAZDA PREMACY 20CS,2011,80000,2000,PETROL,AT,1100.0
TOYOTA,WISH Z,TOYOTA WISH Z,2008,141000,2000,PETROL,AT,2100.0
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,257000,1500,PETROL,AT,1150.0
TOYOTA,ALPHARD 2.4AS,TOYOTA ALPHARD 2.4AS,2005,206000,2400,PETROL,AT,2220.0
TOYOTA,SIENTA X,TOYOTA SIENTA X,2007,220000,1500,PETROL,AT,1710.0
TOYOTA,SIENTA X LTD,TOYOTA SIENTA X LTD,2009,90000,1500,PETROL,AT,2200.0
TOYOTA,ISIS PLATANA LIMITED,TOYOTA ISIS PLATANA LIMITED,2008,50000,2000,PETROL,AT,1520.0
HONDA,STEPWAGON SPADA S,HONDA STEPWAGON SPADA S,2012,98000,2000,PETROL,AT,1750.0
HONDA,STEPWAGON SPADA SPADA S,HONDA STEPWAGON SPADA SPADA S,2010,110000,2000,PETROL,AT,1500.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,107000,1000,PETROL,AT,4900.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,114000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,90000,1000,PETROL,AT,4900.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,105000,1000,PETROL,AT,4900.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,110000,1000,PETROL,AT,4900.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,111000,1000,PETROL,AT,4800.0
TOYOTA,VITZ F SAFETY  EDITION III,TOYOTA VITZ F SAFETY  EDITION III,2020,74000,1000,PETROL,AT,5200.0
TOYOTA,PORTE G,TOYOTA PORTE G,2015,72000,1500,PETROL,AT,1600.0
TOYOTA,BLADE G,TOYOTA BLADE G,2007,42000,2400,PETROL,AT,1860.0
DAIHATSU,MIRA MEMORIAL EDITION,DAIHATSU MIRA MEMORIAL EDITION,2008,74000,660,PETROL,AT,1100.0
TOYOTA,VITZ F CIEL,TOYOTA VITZ F CIEL,2013,103000,1300,PETROL,AT,2800.0
DAIHATSU,MIRA X LTD,DAIHATSU MIRA X LTD,2007,177000,660,PETROL,AT,1000.0
HONDA,FIT HYBRID HYBRID L HONDA SENSING,HONDA FIT HYBRID HYBRID L HONDA SENSING,2017,39000,1500,HYBRID(PETROL),AT,5400.0
TOYOTA,VITZ F,TOYOTA VITZ F,2013,97000,1300,PETROL,AT,2800.0
TOYOTA,SUCCEED WAGON TX G PKG LTD,TOYOTA SUCCEED WAGON TX G PKG LTD,2007,196000,1500,PETROL,AT,3040.0
TOYOTA,SUCCEED WAGON TX G PKG,TOYOTA SUCCEED WAGON TX G PKG,2012,111000,1500,PETROL,AT,3620.0
SUZUKI,SOLIO X,SUZUKI SOLIO X,2012,101000,1240,PETROL,AT,850.0
TOYOTA,PIXIS SPACE X,TOYOTA PIXIS SPACE X,2013,70000,660,PETROL,AT,840.0
TOYOTA,NOAH XL SELECTION,TOYOTA NOAH XL SELECTION,2010,144000,1980,PETROL,AT,2590.0
MITSUBISHI,EK WAGON MX,MITSUBISHI EK WAGON MX,2013,77000,660,PETROL,AT,940.0
MITSUBISHI,EK WAGON G,MITSUBISHI EK WAGON G,2019,72000,660,PETROL,AT,2770.0
MITSUBISHI,EK WAGON GS,MITSUBISHI EK WAGON GS,2013,138000,660,PETROL,AT,940.0
MITSUBISHI,EK WAGON MX,MITSUBISHI EK WAGON MX,2011,173000,660,PETROL,AT,810.0
TOYOTA,NOAH X V SELECTION,TOYOTA NOAH X V SELECTION,2004,170000,2000,PETROL,AT,1780.0
MITSUBISHI,DELICA D2 S,MITSUBISHI DELICA D2 S,2013,152000,1200,PETROL,AT,950.0
SUZUKI,SWIFT XG,SUZUKI SWIFT XG,2022,83000,1242,PETROL,AT,6000.0
SUZUKI,SWIFT RS DJE,SUZUKI SWIFT RS DJE,2015,135000,1200,PETROL,AT,2200.0
SUZUKI,SWIFT XG,SUZUKI SWIFT XG,2008,50000,1200,PETROL,AT,1200.0
TOYOTA,RAUM G PKG,TOYOTA RAUM G PKG,2003,47000,1500,PETROL,AT,2350.0
NISSAN,XTRAIL 20S EMERGENCY BRAKE PKG,NISSAN XTRAIL 20S EMERGENCY BRAKE PKG,2017,149000,2000,PETROL,AT,5670.0
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2013,73000,2400,PETROL,AT,6500.0
MITSUBISHI,RVR E,MITSUBISHI RVR E,2010,44000,1800,PETROL,AT,3600.0
TOYOTA,RACTIS,TOYOTA RACTIS,2007,132000,1500,PETROL,AT,2050.0
TOYOTA,PASSO G,TOYOTA PASSO G,2013,83000,1300,PETROL,AT,1550.0
NISSAN,XTRAIL 20X HYBRID EMERGENCY BRAKE PKG,NISSAN XTRAIL 20X HYBRID EMERGENCY BRAKE PKG,2017,85000,2000,HYBRID(PETROL),AT,5720.0
NISSAN,XTRAIL 20XTT,NISSAN XTRAIL 20XTT,2010,104000,2000,PETROL,AT,2330.0
MAZDA,DEMIO 13S,MAZDA DEMIO 13S,2015,151000,1300,PETROL,AT,2550.0
MAZDA,DEMIO 13S,MAZDA DEMIO 13S,2015,184000,1300,PETROL,AT,2550.0
NISSAN,TIIDA 15S,NISSAN TIIDA 15S,2007,37000,1500,PETROL,AT,1200.0
NISSAN,MARCH X,NISSAN MARCH X,2016,76000,1200,PETROL,AT,1930.0
HONDA,SHUTTLE HYBRID HONDA SENSING,HONDA SHUTTLE HYBRID HONDA SENSING,2020,118000,1500,HYBRID(PETROL),AT,5290.0
TOYOTA,MARK X 250G RELAX SELECTION,TOYOTA MARK X 250G RELAX SELECTION,2010,107000,2500,PETROL,AT,3130.0
TOYOTA,CROWN ATHLETE,TOYOTA CROWN ATHLETE,2008,186000,3500,PETROL,AT,2980.0
HONDA,FIT G,HONDA FIT G,2011,208000,1300,PETROL,AT,1760.0
LEXUS,IS IS250C VERSION L,LEXUS IS IS250C VERSION L,2009,162000,2500,PETROL,AT,3480.0
TOYOTA,CROWN ROYAL SALOON NAVI PKG,TOYOTA CROWN ROYAL SALOON NAVI PKG,2008,202000,2490,PETROL,AT,2280.0
MAZDA,DEMIO CASUAL FRIEND PKG,MAZDA DEMIO CASUAL FRIEND PKG,2003,52000,1300,PETROL,AT,1000.0
MAZDA,DEMIO XD TOURING,MAZDA DEMIO XD TOURING,2015,181000,1500,DIESEL,AT,2000.0
MAZDA,DEMIO XD TOURING,MAZDA DEMIO XD TOURING,2015,101000,1500,DIESEL,AT,2050.0
MAZDA,DEMIO XD,MAZDA DEMIO XD,2014,128000,1500,DIESEL,AT,2000.0
MAZDA,DEMIO 13S TOURING,MAZDA DEMIO 13S TOURING,2018,207000,1300,PETROL,AT,3550.0
TOYOTA,COROLLA AXIO HYBRID,TOYOTA COROLLA AXIO HYBRID,2019,119000,1500,HYBRID(PETROL),AT,6080.0
MAZDA,DEMIO 13S TOURING,MAZDA DEMIO 13S TOURING,2016,53000,1300,PETROL,AT,2900.0
MAZDA,DEMIO 13 SKYACTIV,MAZDA DEMIO 13 SKYACTIV,2013,155000,1300,PETROL,AT,1500.0
TOYOTA,CROWN ATHLETE ANNIVERSARY EDITION,TOYOTA CROWN ATHLETE ANNIVERSARY EDITION,2009,167000,2500,PETROL,AT,3380.0
MAZDA,DEMIO 13C SMART EDITION,MAZDA DEMIO 13C SMART EDITION,2011,142000,1300,PETROL,AT,1250.0
TOYOTA,COROLLA RUNX X G EDITION,TOYOTA COROLLA RUNX X G EDITION,2002,116000,1500,PETROL,AT,3050.0
NISSAN,NOTE X,NISSAN NOTE X,2020,71000,1200,PETROL,AT,4000.0
NISSAN,NOTE MEDALIST X,NISSAN NOTE MEDALIST X,2016,174000,1200,PETROL,AT,2430.0
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2017,42000,1500,HYBRID(PETROL),AT,4800.0
HONDA,FIT HYBRID HYBRID L PACKAGE,HONDA FIT HYBRID HYBRID L PACKAGE,2014,69000,1500,HYBRID(PETROL),AT,2700.0
SUZUKI,SWIFT SPORT SPORT,SUZUKI SWIFT SPORT SPORT,2015,121000,1600,PETROL,MT,2700.0
TOYOTA,PORTE X,TOYOTA PORTE X,2015,137000,1500,PETROL,AT,1500.0
TOYOTA,PORTE X,TOYOTA PORTE X,2013,176000,1300,PETROL,AT,1200.0
SUZUKI,ALTO L,SUZUKI ALTO L,2019,83000,660,PETROL,AT,2500.0
NISSAN,CUBE 15X,NISSAN CUBE 15X,2016,105000,1500,PETROL,AT,2430.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,102000,1000,PETROL,AT,5000.0
TOYOTA,VITZ F,TOYOTA VITZ F,2019,195000,1300,PETROL,AT,5900.0
TOYOTA,VITZ F CIEL,TOYOTA VITZ F CIEL,2013,105000,1300,PETROL,AT,2700.0
TOYOTA,VITZ F,TOYOTA VITZ F,2019,171000,1300,PETROL,AT,5900.0
TOYOTA,VITZ F LIMITED  II,TOYOTA VITZ F LIMITED  II,2010,103000,1000,PETROL,AT,1500.0
TOYOTA,VITZ F,TOYOTA VITZ F,2019,73000,1300,PETROL,AT,6620.0
VOLVO,S60 T4 R DESIGN,VOLVO S60 T4 R DESIGN,2013,117000,1600,PETROL,AT,1580.0
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2021,134000,1500,PETROL,AT,5850.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2021,150000,1500,PETROL,AT,5500.0
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2021,183000,1500,PETROL,AT,5310.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2021,173000,1500,PETROL,5MT,5700.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2017,121000,1500,PETROL,AT,4500.0
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2017,138000,1500,PETROL,AT,4500.0
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2011,128000,1500,PETROL,AT,2300.0
TOYOTA,MARK X 250G FOUR,TOYOTA MARK X 250G FOUR,2018,100000,2500,PETROL,AT,7200.0
TOYOTA,SUCCEED VAN UL-X,TOYOTA SUCCEED VAN UL-X,2020,192000,1500,PETROL,AT,5950.0
TOYOTA,SUCCEED VAN UL,TOYOTA SUCCEED VAN UL,2018,175000,1500,PETROL,AT,4600.0
TOYOTA,SUCCEED VAN UL,TOYOTA SUCCEED VAN UL,2019,53000,1500,PETROL,AT,6700.0
TOYOTA,REGIUSACE VAN DX,TOYOTA REGIUSACE VAN DX,2013,393000,3000,DIESEL,AT,6400.0
TOYOTA,REGIUSACE VAN DX GL PKG,TOYOTA REGIUSACE VAN DX GL PKG,2016,84000,3000,DIESEL,AT,10510.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2021,275000,1300,PETROL,AT,4950.0
TOYOTA,PROBOX VAN DX  COMFORT,TOYOTA PROBOX VAN DX  COMFORT,2021,58000,1300,PETROL,AT,5600.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,112000,1300,PETROL,AT,5250.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,120000,1300,PETROL,AT,5260.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,82000,1300,PETROL,AT,5360.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,138000,1300,PETROL,AT,5200.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2019,168000,1320,PETROL,AT,4850.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2017,147000,1300,PETROL,AT,4600.0
TOYOTA,PROBOX VAN GL,TOYOTA PROBOX VAN GL,2017,108000,1500,PETROL,AT,4710.0
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2015,122000,1500,PETROL,AT,3450.0
NISSAN,NV350CARAVAN DX,NISSAN NV350CARAVAN DX,2015,193000,2500,DIESEL,AT,4500.0
TOYOTA,LITEACE VAN DX,TOYOTA LITEACE VAN DX,2016,192000,1500,PETROL,AT,3510.0
NISSAN,NV200VANETTE VAN GX,NISSAN NV200VANETTE VAN GX,2013,180000,1600,PETROL,AT,1970.0
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2020,152000,1600,PETROL,AT,5200.0
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2020,260000,1600,PETROL,AT,5100.0
NISSAN,NV350CARAVAN DX,NISSAN NV350CARAVAN DX,2015,180000,2500,DIESEL,AT,4500.0
